state,lga,facilityname,datimcode
EKITI,OYE,Oye Ekiti General Hospital,IjAiByZWjsw
OGUN,Abeokuta North,Sabo Primary Health Care Center,zDMCQqdfBSs
OGUN,Abeokuta South,Abeokuta State Hospital,HYWDkjDbtyu
OGUN,Abeokuta South,Federal Medical Center-Abeokuta,cIelM4DwtGv
OGUN,Abeokuta South,"Sacred Heart Catholic Hospital,Abeokuta",DvOjpCpBtJj
OGUN,Ado Odo/Ota,Atan Model Primary Health Center,ogBio975rv6
OGUN,Ado Odo/Ota,Ijoko Primary Health Center,RuXsXz3hhGC
OGUN,Ado Odo/Ota,Ota Primary Health Center,fCB9EIDg0lM
OGUN,Ado Odo/Ota,Ota State Hospital,O7WdfvvhhmG
OGUN,Ado Odo/Ota,Sango Ota Primary Health Center,jrlSMIy4Udi
OGUN,IFO,Agbado Primary Health Care Center,KK0KH975RZH
OGUN,IFO,IFO GENERAL HOSPITAL,CO28PVyyzuQ
OGUN,IFO,Jesus is Love and Power Catholic Hospital-Ifo,rQsDr0APXzb
OGUN,IJEBU EAST,Ijebu Ife General Hospital,ZZJZfQ4WolH
OGUN,IJEBU NORTH,"St Joseph Catholic Hospital, Ijebu-Igbo",iIXPQlWb4Rg
OGUN,Ijebu Ode,State Hospital-Ijebu Ode,eg6CMvHMI9h
OGUN,IMEKO AFON,Imeko Primary Health Center,gGsinQ88Sq5
OGUN,IPOKIA,Idi Iroko General Hospital,Ded9l89WnBh
OGUN,Obafemi Owode,Obafemi Owode General Hospital,GjC1yqDHyxC
OGUN,Obafemi Owode,Ofada Health Clinic,hE6LoL36XgW
OGUN,Obafemi Owode,The Redeemer's Health Center,y9wt3U3r2hZ
OGUN,Remo North,Isara State Hospital,GOVRwTHYMeH
OGUN,Sagamu,Makun Primary Health Care,d0enmAlNy7c
OGUN,Sagamu,Ogijo Primary Health Care,K0W6Eo9ypUn
OGUN,Sagamu,Olabisi Onabanjo University Teaching Hospital,KTVjcTH4JeG
OGUN,Yewa North,Ayetoro General Hospital,muPgi07IQTK
OGUN,Yewa South,Isaga Owode Health Center,VGPZqV1kLlD
OGUN,Yewa South,Specialist Hospital-Ilaro,WnA94tQ9PZu
OGUN,Yewa South,St. Mary's Clinic-Ajilete,yEldGzZy7kS
ONDO,AKOKO NORTH EAST,State Specialist Hospital Ikare,PVJ1iBCOkrp
ONDO,AKOKO NORTH WEST,Irun Akoko General Hospital,KUHqhJqoDQA
ONDO,Akoko South East,Ipe Akoko General Hospital,DmNUbQb4PRU
ONDO,Akoko South West,Iwaro-Oka General Hospital-Akoko,zhu21WthI6C
ONDO,Akoko South West,St. Catherine's Hospital-Iwaro-Oka,GsMlnR6XQ5k
ONDO,Akoko South West,Supare Model Primary Health Center,Ct9GX0tFs5R
ONDO,AKURE NORTH,Iju Itaogbolu General Hospital,A57n2GGTg85
ONDO,AKURE NORTH,Oba-Ile Comprehensive Health Center,wuh106bjAdL
ONDO,Akure South,Arakale Comprehensive Health Center,BobjH7xBdDI
ONDO,Akure South,First Mercy Specialist Hospital,pjkbKPartQG
ONDO,Akure South,Mother And Child Hospital Akure,GizRQMmx10i
ONDO,Akure South,State Specialist Hospital-Akure,yfLNltOE3ES
ONDO,IDANRE,Idanre General Hospital,AZUh5K9JF57
ONDO,Ifedore,Igbara Oke General Hospital,T0DcrdHMRp9
ONDO,ILAJE,Igbokoda General Hospital,rEOLbuPeN6z
ONDO,Ile Oluji,Ile-Oluji General Hospital,pHbdtisHupE
ONDO,IRELE,Ode Irele General Hospital,yoKGtFTi1Ge
ONDO,IRELE,Ode-Irele Comprehensive Health Center,Z9lldlqwYSa
ONDO,ODIGBO,Ore General Hospital,SGlwI0BB3NM
ONDO,OKITIPUPA,Igbotako General Hospital,H33MvD7JqC0
ONDO,OKITIPUPA,State Specialist Hospital Okitipupa,ZfHqkRkgtyn
ONDO,ONDO EAST,Bolorunduro General Hospital,eFlBpM60SRs
ONDO,Ondo West,Moferere-Oja Comprehensive Health Center,Xubfc1xadN5
ONDO,Ondo West,Mother and Child Hospital-Ondo,l0oK5kCcifq
ONDO,Ondo West,State Specialist Hospital-Ondo,JKUabrYA2oL
ONDO,OSE,Ido-Ani General Hospital,R9sKiGC2aQS
ONDO,OSE,Ifon Basic Health Center,aRt2sinKKTL
ONDO,OWO,Federal Medical Center-Owo,Lf5dipBTT0Z
ONDO,OWO,Isaipen Basic Health Center,jnZPTIbnS5X
ONDO,OWO,Owo General Hospital,uqUGRphflWb
OSUN,Ede South,Ede Specialist Hospital,qoiO0tapOKa
OSUN,EJIGBO,Ejigbo Baptist Hospital,LH8aXd0aKgT
